Date,Open,High,Low,Close,Volume,Adj Close
2011/2/6,,,,,,
2011/2/7,1311.85,1330.79,1311.74,1329.15,4021990000,1329.15
2011/2/8,,,,,,
2011/2/9,,,,,,
2011/2/10,,,,,,
2011/2/11,,,,,,
2011/2/12,,,,,,
2011/2/13,,,,,,
2011/2/14,1328.73,1344.07,1324.61,1343.01,2517822000,1343.01
2011/2/15,,,,,,
2011/2/16,,,,,,
2011/2/17,,,,,,
2011/2/18,,,,,,
2011/2/19,,,,,,
2011/2/20,,,,,,
2011/2/21,,,,,,
2011/2/22,1338.91,1338.91,1294.26,1319.88,1928012500,1319.88
2011/2/23,,,,,,
2011/2/24,,,,,,
2011/2/25,,,,,,
2011/2/26,,,,,,
2011/2/27,,,,,,
2011/2/28,1321.61,1332.28,1302.58,1321.15,2404496000,1321.15
2011/3/1,,,,,,
2011/3/2,,,,,,
2011/3/3,,,,,,
2011/3/4,,,,,,
2011/3/5,,,,,,
2011/3/6,,,,,,
2011/3/7,1322.72,1327.68,1291.99,1304.28,4133818000,1304.28
2011/3/8,,,,,,
2011/3/9,,,,,,
2011/3/10,,,,,,
2011/3/11,,,,,,
2011/3/12,,,,,,
2011/3/13,,,,,,
2011/3/14,1301.19,1301.19,1249.05,1279.21,4781044000,1279.21
2011/3/15,,,,,,
2011/3/16,,,,,,
2011/3/17,,,,,,
2011/3/18,,,,,,
2011/3/19,,,,,,
2011/3/20,,,,,,
2011/3/21,1281.65,1319.18,1281.65,1313.8,4018022000,1313.8
2011/3/22,,,,,,
2011/3/23,,,,,,
2011/3/24,,,,,,
2011/3/25,,,,,,
2011/3/26,,,,,,
2011/3/27,,,,,,
2011/3/28,1315.45,1337.85,1305.26,1332.41,3659466000,1332.41
2011/3/29,,,,,,
2011/3/30,,,,,,
2011/3/31,,,,,,
2011/4/1,,,,,,
2011/4/2,,,,,,
2011/4/3,,,,,,
2011/4/4,1333.56,1339.46,1322.94,1328.17,3977634000,1328.17
2011/4/5,,,,,,
2011/4/6,,,,,,
2011/4/7,,,,,,
2011/4/8,,,,,,
2011/4/9,,,,,,
2011/4/10,,,,,,
2011/4/11,1329.01,1333.77,1302.42,1319.68,3940338000,1319.68
2011/4/12,,,,,,
2011/4/13,,,,,,
2011/4/14,,,,,,
2011/4/15,,,,,,
2011/4/16,,,,,,
2011/4/17,,,,,,
2011/4/18,1313.35,1337.49,1294.7,1337.38,3983390000,1337.38
2011/4/19,,,,,,
2011/4/20,,,,,,
2011/4/21,,,,,,
2011/4/22,,,,,,
2011/4/23,,,,,,
2011/4/24,,,,,,
2011/4/25,1337.14,1364.56,1331.47,1363.61,3523530000,1363.61
2011/4/26,,,,,,
2011/4/27,,,,,,
2011/4/28,,,,,,
2011/4/29,,,,,,
2011/4/30,,,,,,
2011/5/1,,,,,,
2011/5/2,1365.21,1370.58,1329.17,1340.2,4072744000,1340.2
2011/5/3,,,,,,
2011/5/4,,,,,,
2011/5/5,,,,,,
2011/5/6,,,,,,
2011/5/7,,,,,,
2011/5/8,,,,,,
2011/5/9,1340.2,1359.44,1332.03,1337.77,3907822000,1337.77
2011/5/10,,,,,,
2011/5/11,,,,,,
2011/5/12,,,,,,
2011/5/13,,,,,,
2011/5/14,,,,,,
2011/5/15,,,,,,
2011/5/16,1334.77,1346.82,1318.51,1333.27,3902876000,1333.27
2011/5/17,,,,,,
2011/5/18,,,,,,
2011/5/19,,,,,,
2011/5/20,,,,,,
2011/5/21,,,,,,
2011/5/22,,,,,,
2011/5/23,1333.07,1334.62,1311.8,1331.1,3519106000,1331.1
2011/5/24,,,,,,
2011/5/25,,,,,,
2011/5/26,,,,,,
2011/5/27,,,,,,
2011/5/28,,,,,,
2011/5/29,,,,,,
2011/5/30,,,,,,
2011/5/31,1331.1,1345.2,1297.9,1300.16,4051132500,1300.16
